,Title,Url,Id,Ranking,Score,Type,Number_Episod,Start_date,End_date
40,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,52198,41,8.76,Movie,1,2022-12-01,2022-12-01
41,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,17074,42,8.76,TV,26,2013-07-01,2013-12-01
42,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,48583,43,8.76,TV,12,2022-01-01,2022-04-01
43,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,37521,44,8.76,TV,24,2019-07-01,2019-12-01
44,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,45649,45,8.75,Movie,1,2022-12-01,2022-12-01
45,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,1,46,8.75,TV,26,1998-04-01,1999-04-01
46,Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,39894,47,8.74,TV,13,2024-04-01,2024-06-01
47,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,47778,48,8.74,TV,11,2021-12-01,2022-02-01
48,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,50160,49,8.74,TV,26,2022-04-01,2022-10-01
49,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,53223,50,8.73,TV,13,2024-01-01,2024-03-01
