Episod,Season,Episod_season,Title,Day,Month,Year,Rate,link
22,1,22,Master of the Mansion,31,8,2019,8.4,https://www.imdb.com//title/tt10433106
23,1,23,Hashira Meeting,7,9,2019,7.8,https://www.imdb.com//title/tt10433108
24,1,24,Rehabilitation Training,14,9,2019,7.7,https://www.imdb.com//title/tt10433110
25,1,25,Tsuguko Kanao Tsuyuri,21,9,2019,7.8,https://www.imdb.com//title/tt10433112
26,1,26,New Mission,28,9,2019,8.8,https://www.imdb.com//title/tt10433114
27,2,1,Flame Hashira Kyojuro Rengoku,10,10,2021,8.5,https://www.imdb.com//title/tt14617256
28,2,2,Deep Sleep,17,10,2021,7.9,https://www.imdb.com//title/tt15681070
29,2,3,Should Have Been,24,10,2021,8.1,https://www.imdb.com//title/tt15713684
30,2,4,Insult,7,11,2021,8.3,https://www.imdb.com//title/tt15779046
31,2,5,Move Forward!,14,11,2021,8.7,https://www.imdb.com//title/tt15757610
32,2,6,Akaza,21,11,2021,9.4,https://www.imdb.com//title/tt15757628
33,2,7,Set Your Heart Ablaze,28,11,2021,9.7,https://www.imdb.com//title/tt15757632
34,2,8,Sound Hashira Tengen Uzui,5,12,2021,7.9,https://www.imdb.com//title/tt15757634
35,2,9,Infiltrating the Entertainment District,12,12,2021,7.4,https://www.imdb.com//title/tt16407960
36,2,10,What Are You?,19,12,2021,7.8,https://www.imdb.com//title/tt16441532
37,2,11,Tonight,26,12,2021,8.2,https://www.imdb.com//title/tt16503168
38,2,12,Things Are Gonna Get Real Flashy!,2,1,2022,8.7,https://www.imdb.com//title/tt16767544
39,2,13,Layered Memories,9,1,2022,9.5,https://www.imdb.com//title/tt16972222
40,2,14,Transformation,16,1,2022,9.4,https://www.imdb.com//title/tt17008706
41,2,15,Gathering,23,1,2022,9.4,https://www.imdb.com//title/tt17163896
42,2,16,Defeating an Upper Rank Demon,30,1,2022,9.6,https://www.imdb.com//title/tt17337688
43,2,17,Never Give Up,6,2,2022,9.7,https://www.imdb.com//title/tt17521746
44,2,18,No Matter How Many Lives,13,2,2022,8.8,https://www.imdb.com//title/tt18034898
45,3,1,Someone's Dream,1,5,2023,8.6,https://www.imdb.com//title/tt27204288
46,3,2,Yoriichi Type Zero,12,12,2021,7.3,https://www.imdb.com//title/tt27471302
47,3,3,A Sword from Over 300 Years Ago,23,4,2023,8.4,https://www.imdb.com//title/tt27488498
48,3,4,Thank You Tokito,26,12,2021,8.2,https://www.imdb.com//title/tt27580481
49,3,5,Bright Red Sword,2,1,2022,9.2,https://www.imdb.com//title/tt27643967
50,3,6,Aren't You Going to Become A Hashira?,9,1,2022,8.7,https://www.imdb.com//title/tt27696585
51,3,7,Awful Villain,16,1,2022,8.0,https://www.imdb.com//title/tt27752537
52,3,8,The Mu in Muichiro,28,5,2023,8.7,https://www.imdb.com//title/tt27820012
53,3,9,Mist Hashira Muichiro Tokito,4,6,2023,8.6,https://www.imdb.com//title/tt27880399
54,3,10,Love Hashira Mitsuri Kanroji,11,6,2023,8.3,https://www.imdb.com//title/tt27941580
55,3,11,A Connected Bond: Daybreak and First Light,18,6,2023,9.4,https://www.imdb.com//title/tt28069671
56,4,1,To Defeat Muzan Kibutsuji,12,5,2024,8.0,https://www.imdb.com//title/tt29452416
57,4,2,The Sorrows of the Water Hashira Giyu Tomioka,19,5,2024,7.5,https://www.imdb.com//title/tt29452420
58,4,3,Fully Recovered Tanjiro Joins the Hashira Training!,26,5,2024,7.2,https://www.imdb.com//title/tt29452422
59,4,4,To Bring a Smile to One's Face,2,6,2024,7.1,https://www.imdb.com//title/tt29452429
60,4,5,I Even Ate Demons...,9,6,2024,7.4,https://www.imdb.com//title/tt29452430
61,4,6,The Strongest of the Demon Slayer Corps,16,6,2024,7.3,https://www.imdb.com//title/tt29452434
62,4,7,Stone Hashira Gyomei Himejima,23,6,2024,8.7,https://www.imdb.com//title/tt29452436
63,4,8,The Hashira Unite,30,6,2024,9.8,https://www.imdb.com//title/tt29452438
